City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,baotou,40.6522,109.8222,26.81,46,100,3.74,CN,1689079381
241,saint-philippe,-21.3585,55.7679,24.77,72,48,1.52,RE,1689080017
242,tosontsengel,48.7567,98.2839,13.92,73,15,2.0,MN,1689080018
243,moapa valley,36.5805,-114.4703,29.61,33,4,1.42,US,1689080018
244,pacific grove,36.6177,-121.9166,13.01,95,100,0.45,US,1689080019
245,georgiyevka,43.0369,74.7114,34.02,20,0,8.0,KZ,1689080020
246,al kharijah,25.4514,30.5464,38.32,15,1,4.88,EG,1689080020
247,basco,20.4487,121.9702,29.75,75,76,6.52,PH,1689080021
248,queenstown,-31.8976,26.8753,12.66,33,0,1.48,ZA,1689079589
249,dunedin,-45.8742,170.5036,8.22,71,100,1.34,NZ,1689080022
250,hsinchu,24.8036,120.9686,31.03,77,99,0.45,TW,1689079836
251,longyearbyen,78.2186,15.6401,9.91,66,75,6.17,SJ,1689080023
252,port macquarie,-31.4333,152.9167,10.52,78,0,2.55,AU,1689080023
253,colonia,50.9333,6.95,34.68,32,0,2.57,DE,1689080024
254,katsuura,35.1333,140.3,24.57,92,0,5.96,JP,1689080024
255,dzhetygara,52.1908,61.2006,36.34,19,7,6.51,KZ,1689080024
256,remire-montjoly,4.9167,-52.2667,28.02,74,40,3.6,GF,1689080026
257,el porvenir,13.7617,-87.3458,24.63,80,96,2.22,HN,1689080026
258,mount pearl,47.5166,-52.7813,15.96,95,100,2.57,CA,1689080027
259,minas de marcona,-15.2119,-75.1103,13.1,85,92,3.55,PE,1689080027
260,entebbe,0.0644,32.4469,27.18,57,20,3.6,UG,1689080028
261,coquimbo,-29.9533,-71.3436,10.85,81,0,1.54,CL,1689080028
262,la mira,18.035,-102.3266,24.05,86,100,2.64,MX,1689080029
263,tazovsky,67.4667,78.7,12.12,53,4,8.07,RU,1689080029
264,posse,-14.0931,-46.3694,27.71,36,0,2.81,BR,1689080030
265,seaside,36.6111,-121.8516,13.28,95,100,0.0,US,1689080030
266,aripuana,-9.1667,-60.6333,27.87,39,0,0.81,BR,1689080031
267,palopo,-2.9996,120.1921,25.69,85,100,0.92,ID,1689080032
268,sihanoukville,10.6093,103.5296,27.97,89,40,2.06,KH,1689079733
269,chimoio,-19.1164,33.4833,14.97,76,75,6.36,MZ,1689080034
270,winnipeg,49.8844,-97.147,15.01,82,40,3.09,CA,1689080034
271,laghouat,33.8,2.8651,40.67,9,64,1.4,DZ,1689080035
272,conception bay south,47.4999,-52.9981,16.29,93,75,2.57,CA,1689080035
273,yangambi,0.8102,24.4336,33.61,39,81,1.79,CD,1689079762
274,palikir - national government center,6.9248,158.1611,27.92,76,90,4.73,FM,1689080036
275,puerto ayora,-0.7393,-90.3518,25.31,94,100,2.68,EC,1689080037
276,ilulissat,69.2167,-51.1,6.09,90,100,2.4,GL,1689080037
277,paradip garh,20.3167,86.6167,29.05,78,100,4.4,IN,1689080038
278,kratie,12.4881,106.0188,27.08,79,99,0.73,KH,1689080038
279,badger,64.8,-147.5333,17.95,72,100,0.0,US,1689080039
280,aykhal,66.0,111.5,13.98,84,100,7.04,RU,1689080040
281,kalamata,37.0389,22.1142,32.87,35,20,4.12,GR,1689080041
282,meiktila,20.8667,95.8667,29.8,57,95,7.61,MM,1689080041
283,amasra,41.7463,32.3863,25.69,52,2,2.46,TR,1689080042
284,dera nanak,32.0373,75.0279,34.92,37,0,2.45,IN,1689080043
285,horta,38.5333,-28.6333,21.8,96,75,4.92,PT,1689080043
286,yuzhno-kurilsk,44.0306,145.8556,15.64,99,100,2.06,RU,1689080044
287,poshekhon'ye,58.4993,39.1353,18.26,42,83,4.89,RU,1689080045
288,chonchi,-42.6128,-73.8092,0.07,96,52,0.41,CL,1689080045
289,tari,12.4086,4.4914,35.18,39,11,3.03,NG,1689080046
290,barcelos,41.5388,-8.6151,27.73,55,97,4.88,PT,1689080046
291,wad rawah,15.1603,33.1397,34.66,35,100,7.15,SD,1689080047
292,holualoa,19.6228,-155.9522,20.99,85,93,2.24,US,1689080048
293,pokrovsk,48.282,37.1758,19.6,65,98,4.83,UA,1689080049
294,kupang,-10.1667,123.5833,25.1,77,95,5.46,ID,1689080049
295,brewton,31.1052,-87.0722,27.41,91,0,0.31,US,1689080050
296,puerto deseado,-47.7503,-65.8938,0.16,79,78,1.53,AR,1689080050
297,freeport,40.6576,-73.5832,26.12,59,20,3.09,US,1689080051
298,guiuan,11.0333,125.7247,28.94,75,72,2.36,PH,1689080051
299,marsh harbour,26.5412,-77.0636,29.1,75,98,3.64,BS,1689080052
300,alo,7.4178,6.7371,29.68,72,100,1.87,NG,1689080052
301,san francisco,37.7749,-122.4194,14.82,92,20,4.02,US,1689080008
302,lubango,-14.9172,13.4925,20.77,18,0,3.34,AO,1689080054
303,aden,12.7794,45.0367,32.15,68,7,4.63,YE,1689080054
304,santo antonio,-6.3106,-35.4789,27.92,61,3,6.33,BR,1689080055
305,borogontsy,62.6683,131.1683,20.35,64,100,2.52,RU,1689080055
306,lisala,2.15,21.5167,31.36,51,100,0.44,CD,1689080056
307,nouadhibou,20.931,-17.0347,24.99,73,40,5.66,MR,1689080056
308,biograd na moru,43.9433,15.4519,33.39,48,8,3.0,HR,1689080057
309,smithers,54.7804,-127.1743,10.18,100,0,1.03,CA,1689080057
310,ataq,14.5377,46.8319,35.77,23,61,4.95,YE,1689080058
311,bathurst,-33.4166,149.5806,7.13,96,85,1.97,AU,1689079853
312,floro,61.5996,5.0328,21.24,68,75,2.57,NO,1689080058
313,westport,41.1415,-73.3579,25.05,73,0,2.24,US,1689080059
314,yung shue wan,22.2333,114.1167,31.98,78,2,0.45,HK,1689080060
315,qashyr,53.0675,76.1036,35.46,25,28,3.31,KZ,1689080060
316,itoman,26.1247,127.6694,29.21,87,40,6.17,JP,1689079922
317,mirny,62.5353,113.9611,20.13,88,100,3.13,RU,1689079858
318,taoudenni,22.6783,-3.9836,45.4,6,24,3.45,ML,1689080062
319,cutral-co,-38.9469,-69.2089,1.62,10,100,0.45,AR,1689080062
320,ponta delgada,37.7333,-25.6667,22.4,94,40,4.12,PT,1689080063
321,christies beach,-35.1396,138.4698,13.18,67,0,2.68,AU,1689080063
322,dongola,19.1667,30.4833,41.1,9,10,6.11,SD,1689080064
323,kendari,-3.945,122.4989,24.23,85,100,1.72,ID,1689079824
324,saldanha,-33.0117,17.9442,18.03,51,0,3.02,ZA,1689080065
325,east london,-33.0153,27.9116,18.52,52,0,6.69,ZA,1689080058
326,novyy turtkul',41.55,61.0167,40.95,7,0,4.32,UZ,1689080066
327,essaouira,31.5125,-9.77,34.72,40,0,4.63,MA,1689080066
328,whangarei,-35.7317,174.3239,9.96,94,36,1.96,NZ,1689080067
329,mindif,10.3976,14.4363,33.19,32,76,3.36,CM,1689080067
330,bastrop,32.7562,-91.8724,25.94,96,100,0.45,US,1689080068
331,pueblo west,38.35,-104.7227,24.74,34,0,1.84,US,1689080068
332,cole harbour,44.6724,-63.4751,18.66,98,100,7.72,CA,1689080069
333,kineshma,57.4391,42.1289,14.31,59,100,5.68,RU,1689080069
334,chom bueng,13.62,99.5917,27.36,78,100,1.46,TH,1689080070
335,ta`u,-14.2336,-169.5144,26.97,84,100,8.84,AS,1689080070
336,santa cruz,-17.8,-63.1667,25.03,83,75,6.69,BO,1689080071
337,xilin hot,43.9667,116.0333,22.67,63,100,5.43,CN,1689080071
338,zimapan,20.75,-99.35,16.64,85,6,0.97,MX,1689080071
339,tromso,69.6496,18.957,22.01,49,0,4.63,NO,1689080072
